gauge_id,gauge_name,gauge_country,gauge_lat,gauge_lon
1,BREST,FRANCE,48.38,-4.49
2,SWINOUJSCIE,POLAND,53.92,14.23
3,SHEERNESS,UNITED KINGDOM,51.45,0.74
5,HOLYHEAD,UNITED KINGDOM,53.31,-4.62
7,CUXHAVEN_2,GERMANY,53.87,8.72
8,WISMAR_2,GERMANY,53.9,11.46
9,MAASSLUIS,"NETHERLANDS, KINGDOM OF THE",51.92,4.25
10,SAN_FRANCISCO,UNITED STATES,37.81,-122.47
11,WARNEMUNDE_2,GERMANY,54.17,12.1
12,NEW_YORK,UNITED STATES,40.7,-74.01
13,TRAVEMUNDE,GERMANY,53.96,10.87
14,HELSINKI,FINLAND,60.15,24.96
15,LIVERPOOL_GEORGES_AND_PRINCES_PIERS,UNITED KINGDOM,53.4,-3.0
16,LYOKKI,FINLAND,60.85,21.18
17,LYPYRTTI,FINLAND,60.6,21.23
18,JUNGFRUSUND,FINLAND,59.95,22.37
20,VLISSINGEN,"NETHERLANDS, KINGDOM OF THE",51.44,3.6
21,ABERDEEN_II,UNITED KINGDOM,57.15,-2.08
22,HOEK_VAN_HOLLAND,"NETHERLANDS, KINGDOM OF THE",51.98,4.12
23,DEN_HELDER,"NETHERLANDS, KINGDOM OF THE",52.96,4.75
24,DELFZIJL,"NETHERLANDS, KINGDOM OF THE",53.33,6.93
25,HARLINGEN,"NETHERLANDS, KINGDOM OF THE",53.18,5.41
26,LIEPAJA,LATVIA,56.53,20.98
27,UTO,FINLAND,59.78,21.37
28,RUSSARO,FINLAND,59.77,22.95
29,SODERSKAR,FINLAND,60.12,25.42
30,RONNSKAR,FINLAND,63.07,20.8
31,NEDRE_SODERTALJE,SWEDEN,59.2,17.62
32,IJMUIDEN,"NETHERLANDS, KINGDOM OF THE",52.46,4.55
33,OSCARSBORG,NORWAY,59.68,10.6
34,TRONDHEIM,NORWAY,63.43,10.43
37,DAUGAVGRIVA,LATVIA,57.05,24.03
39,VENEZIA,ITALY,45.42,12.33
41,POTI,GEORGIA,42.17,41.68
42,SEVASTOPOL,UKRAINE,44.62,33.53
43,MUMBAI,INDIA,18.92,72.83
44,ADEN,YEMEN,12.79,44.97
45,KABELVAG,NORWAY,68.21,14.48
47,STAVANGER,NORWAY,58.97,5.73
48,KIDDERPORE,INDIA,22.53,88.33
51,BATUMI,GEORGIA,41.63,41.7
52,CASCAIS,PORTUGAL,38.68,-9.42
57,VAASA,FINLAND,63.08,21.57
58,BERGEN,NORWAY,60.4,5.32
59,GENOVA,ITALY,44.4,8.9
61,MARSEILLE,FRANCE,43.28,5.35
62,OSLO,NORWAY,59.91,10.73
63,KOBBAKLINTAR,ÅLAND ISLANDS,60.03,19.88
64,GDANSK/NOWY_PORT,POLAND,54.4,18.68
65,SYDNEY,AUSTRALIA,-33.85,151.23
68,LANDSORT,SWEDEN,58.74,17.87
69,OLANDS_NORRA_UDDE,SWEDEN,57.37,17.1
70,KUNGSHOLMSFORT,SWEDEN,56.11,15.59
71,HANKO,FINLAND,59.82,22.98
72,YSTAD,SWEDEN,55.42,13.82
73,VARBERG,SWEDEN,57.1,12.22
76,AARHUS,DENMARK,56.15,10.22
77,GRONSKAR,SWEDEN,59.28,19.03
78,STOCKHOLM,SWEDEN,59.32,18.08
79,OULU,FINLAND,65.04,25.42
80,ESBJERG,DENMARK,55.46,8.44
81,FREDERICIA,DENMARK,55.56,9.75
82,KOBENHAVN,DENMARK,55.7,12.6
83,VYBORG,RUSSIAN FEDERATION,60.7,28.73
84,LEMSTROM,ÅLAND ISLANDS,60.1,20.02
86,YKSPIHLAJA,FINLAND,63.83,23.03
87,VENEZIA,ITALY,45.42,12.35
88,RATAN,SWEDEN,63.99,20.89
89,HIRTSHALS,DENMARK,57.6,9.96
90,BJORN,SWEDEN,60.63,17.97
91,FREDERIKSHAVN,DENMARK,57.44,10.55
94,TONOURA,JAPAN,34.9,132.07
95,NORTH_SHIELDS,UNITED KINGDOM,55.01,-1.44
96,HALIFAX,CANADA,44.67,-63.58
97,BACKEVIK,SWEDEN,58.37,11.25
98,SLIPSHAVN,DENMARK,55.29,10.83
99,NEDRE_GAVLE,SWEDEN,60.68,17.17
104,CAGLIARI,ITALY,39.2,9.17
105,NAPOLI,ITALY,40.84,14.26
106,CIVITAVECCHIA,ITALY,42.05,11.82
107,PALERMO,ITALY,38.13,13.33
108,PORTO_MAURIZIO,ITALY,43.87,8.02
111,FREMANTLE,AUSTRALIA,-32.06,115.74
112,FERNANDINA_BEACH,UNITED STATES,30.67,-81.47
113,KORSOR,DENMARK,55.33,11.14
118,KLAIPEDA,LITHUANIA,55.7,21.13
119,HORNBAEK,DENMARK,56.09,12.46
120,GEDSER,DENMARK,54.57,11.93
122,DRAGHALLAN,SWEDEN,62.37,17.53
127,SEATTLE,UNITED STATES,47.6,-122.34
129,NAPOLI,ITALY,40.87,14.27
130,ABURATSUBO,JAPAN,35.16,139.62
131,AYUKAWA,JAPAN,38.3,141.51
132,WAJIMA,JAPAN,37.41,136.9
133,HOSOJIMA,JAPAN,32.43,131.67
134,KUSHIMOTO,JAPAN,33.48,135.77
135,PHILADELPHIA,UNITED STATES,39.93,-75.14
138,POINTE-AU-PERE,CANADA,48.52,-68.47
139,HANASAKI,JAPAN,43.28,145.58
140,STROMSTAD,SWEDEN,58.95,11.18
142,SKURU,FINLAND,60.1,23.55
145,MANILA,PHILIPPINES,14.58,120.97
146,HEL,POLAND,54.6,18.8
148,BALTIMORE,UNITED STATES,39.27,-76.58
150,AUCKLAND_II,NEW ZEALAND,-36.84,174.77
154,TRIESTE,ITALY,45.65,13.76
155,HONOLULU,UNITED STATES,21.31,-157.87
157,BUENOS_AIRES,ARGENTINA,-34.6,-58.37
158,SAN_DIEGO,UNITED STATES,32.71,-117.17
159,OSHORO_I,JAPAN,43.22,140.87
161,GALVESTON_II,UNITED STATES,29.31,-94.79
162,LAGOS,PORTUGAL,37.1,-8.67
163,BALBOA,PANAMA,8.97,-79.57
164,KOTKA,FINLAND,60.45,26.95
165,TOFINO,CANADA,49.15,-125.92
166,VICTORIA,CANADA,48.42,-123.37
167,PRINCE_RUPERT,CANADA,54.32,-130.33
168,VENEZIA,ITALY,45.43,12.33
169,CRISTOBAL,PANAMA,9.35,-79.92
172,MANTYLUOTO,FINLAND,61.59,21.46
174,KO_LAK,THAILAND,11.8,99.82
175,VANCOUVER,CANADA,49.28,-123.12
176,HARRINGTON_HBR,CANADA,50.5,-59.48
179,SMOGEN,SWEDEN,58.35,11.22
180,ATLANTIC_CITY,UNITED STATES,39.35,-74.42
183,PORTLAND ,UNITED STATES,43.66,-70.25
188,KEY_WEST,UNITED STATES,24.55,-81.81
189,PORT_HEDLAND,AUSTRALIA,-20.32,118.57
190,DUNBAR,UNITED KINGDOM,56.01,-2.52
193,POINT_ATKINSON,CANADA,49.33,-123.25
194,PIETARSAARI ,FINLAND,63.71,22.69
195,SAINT_JOHN,CANADA,45.27,-66.07
196,SYDNEY,AUSTRALIA,-33.85,151.23
202,NEWLYN,UNITED KINGDOM,50.1,-5.54
203,FURUOGRUND,SWEDEN,64.92,21.23
204,KARACHI,PAKISTAN,24.81,66.97
205,CHENNAI,INDIA,13.1,80.3
208,ALICANTE,SPAIN,38.34,-0.48
209,CADIZ_II,SPAIN,36.53,-6.31
210,RANGOON,MYANMAR,16.77,96.17
213,BLUFF,NEW ZEALAND,-46.6,168.35
214,FELIXSTOWE,UNITED KINGDOM,51.96,1.35
215,TUAPSE,RUSSIAN FEDERATION,44.1,39.07
216,PORT_PIRIE,AUSTRALIA,-33.18,138.01
217,AUCKLAND-WAITEMATA_HARBOUR,NEW ZEALAND,-36.84,174.77
219,BELFAST_2,UNITED KINGDOM,54.6,-5.92
221,WELLINGTON_HARBOUR,NEW ZEALAND,-41.28,174.78
223,QUEQUEN,ARGENTINA,-38.58,-58.7
224,LEWES,UNITED STATES,38.78,-75.12
225,KETCHIKAN,UNITED STATES,55.33,-131.62
226,SAPPI,FINLAND,61.48,21.33
227,SUR_SARI,RUSSIAN FEDERATION,60.08,26.98
229,KEMI,FINLAND,65.67,24.52
230,PORT_LINCOLN,AUSTRALIA,-34.72,135.87
231,HELIGMAN,ÅLAND ISLANDS,60.2,19.3
234,CHARLESTON_I,UNITED STATES,32.78,-79.92
235,BOSTON,UNITED STATES,42.35,-71.05
236,WEST-TERSCHELLING,"NETHERLANDS, KINGDOM OF THE",53.36,5.22
237,PRIMORSK,RUSSIAN FEDERATION,60.35,28.62
238,TVARMINNE,FINLAND,59.85,23.25
239,TURKU,FINLAND,60.43,22.1
240,RAAHE,FINLAND,64.67,24.41
245,LOS_ANGELES,UNITED STATES,33.72,-118.27
246,PENSACOLA,UNITED STATES,30.4,-87.21
247,PORT_LYTTELTON,NEW ZEALAND,-43.61,172.72
248,JOHOR_BAHRU,MALAYSIA,1.46,103.79
249,FOGLO,ÅLAND ISLANDS,60.03,20.38
253,PORT_SAID,EGYPT,31.25,32.3
255,DOVER,UNITED KINGDOM,51.11,1.32
256,LA_JOLLA,UNITED STATES,32.87,-117.26
258,PONTA_DELGADA,PORTUGAL,37.74,-25.67
259,LYTTELTON_II,NEW ZEALAND,-43.61,172.72
260,JOLO,PHILIPPINES,6.07,121.0
265,ASTORIA,UNITED STATES,46.21,-123.77
266,SEWARD,UNITED STATES,60.12,-149.43
267,NEWCASTLE_III,AUSTRALIA,-32.92,151.8
269,MACAU,MACAO,22.2,113.55
270,DAYTONA_BEACH,UNITED STATES,29.23,-81.0
271,MOMMARK,DENMARK,54.93,10.07
284,DURBAN,SOUTH AFRICA,-29.87,31.05
285,KASKINEN,FINLAND,62.34,21.21
286,IMMINGHAM,UNITED KINGDOM,53.63,-0.19
288,SEAVEY_ISLAND,UNITED STATES,43.08,-70.74
289,PIONERSKY,RUSSIAN FEDERATION,54.95,20.22
299,SEWELLS_POINT,UNITED STATES,36.95,-76.33
300,HILO,UNITED STATES,19.73,-155.06
302,TREGDE,NORWAY,58.01,7.55
303,SANTA_CRUZ_DE_TENERIFE_I,SPAIN,28.48,-16.24
310,YAMBA,AUSTRALIA,-29.43,153.36
311,ANNAPOLIS,UNITED STATES,38.98,-76.48
312,NARVIK,NORWAY,68.43,17.43
313,HEIMSJO,NORWAY,63.43,9.1
314,STORNOWAY,UNITED KINGDOM,58.21,-6.39
315,HAMINA,FINLAND,60.56,27.18
316,MAYPORT,UNITED STATES,30.39,-81.43
317,BOURGAS,BULGARIA,42.48,27.48
318,VARNA,BULGARIA,43.18,27.92
320,NEWCASTLE_I,AUSTRALIA,-32.92,151.8
330,KLAGSHAMN,SWEDEN,55.52,12.89
331,TAKORADI,GHANA,4.88,-1.75
332,EASTPORT,UNITED STATES,44.9,-66.98
333,NORTH_POINT,HONG KONG,22.3,114.2
334,SOUTHEND,UNITED KINGDOM,51.51,0.72
335,TILBURY,UNITED KINGDOM,51.47,0.37
336,TOWER_PIER,UNITED KINGDOM,51.5,0.08
350,PORTSMOUTH,UNITED KINGDOM,50.8,-1.11
351,NEWPORT,UNITED STATES,41.51,-71.33
352,SPLIT - GRADSKA_LUKA,CROATIA,43.51,16.44
353,BAKAR,CROATIA,45.3,14.53
359,MERA,JAPAN,34.92,139.82
360,WASHINGTON_DC,UNITED STATES,38.87,-77.02
361,ABERDEEN_I,UNITED KINGDOM,57.14,-2.08
362,WILLETS_POINT,UNITED STATES,40.79,-73.78
363,MIAMI_BEACH,UNITED STATES,25.77,-80.13
366,SANDY_HOOK,UNITED STATES,40.47,-74.01
367,WOODS_HOLE,UNITED STATES,41.52,-70.67
368,ST. GEORGES,BERMUDA,32.37,-64.7
369,GARDEN_REACH,INDIA,22.55,88.3
373,THESSALONIKI,GREECE,40.63,22.93
374,PIRAIEVS,GREECE,37.94,23.63
375,KAVALLA,GREECE,40.93,24.41
376,RAUMA,FINLAND,61.13,21.43
377,SANTA_MONICA,UNITED STATES,34.01,-118.5
378,CRESCENT_CITY,UNITED STATES,41.74,-124.18
379,CONSTANTZA,ROMANIA,44.17,28.67
384,FRIDAY_HARBOR,UNITED STATES,48.55,-123.01
385,NEAH_BAY,UNITED STATES,48.37,-124.61
386,THEVENARD,AUSTRALIA,-32.15,133.64
392,PORT_AUX_BASQUES,CANADA,47.57,-59.13
393,ST. JOHN'S,CANADA,47.57,-52.72
394,CEBU,PHILIPPINES,10.3,123.92
395,FORT_PULASKI,UNITED STATES,32.03,-80.9
396,WILMINGTON,UNITED STATES,34.23,-77.95
397,SASSNITZ,GERMANY,54.51,13.64
398,KJOLSDAL,NORWAY,61.92,5.63
399,PORTSMOUTH,UNITED STATES,36.82,-76.29
401,NEVLUNGHAVN,NORWAY,58.97,9.88
405,JUNEAU,UNITED STATES,58.3,-134.41
407,UCHIURA,JAPAN,35.02,138.89
408,KHIOS,GREECE,38.37,26.14
409,POSIDHONIA,GREECE,37.95,22.96
410,PREVEZA,GREECE,38.96,20.76
411,KALAMAI,GREECE,37.02,22.12
412,SOLOMON'S_ISLAND,UNITED STATES,38.32,-76.45
413,OOSTENDE,BELGIUM,51.23,2.92
414,VISAKHAPATNAM,INDIA,17.68,83.28
417,SAUGOR/SAGAR,INDIA,21.65,88.05
418,GUANTANAMO_BAY,CUBA,19.91,-75.15
420,BHAUNAGAR_I,INDIA,21.8,72.3
425,ANDENES,NORWAY,69.33,16.13
426,SITKA,UNITED STATES,57.05,-135.34
427,CHARLOTTETOWN,CANADA,46.23,-63.12
428,CEDAR_KEY_II,UNITED STATES,29.14,-83.03
429,NEW_LONDON,UNITED STATES,41.36,-72.09
430,PROVIDENCE,UNITED STATES,41.81,-71.4
431,MONTEVIDEO,URUGUAY,-34.9,-56.25
432,DUBLIN,IRELAND,53.35,-6.22
433,COLONIA,URUGUAY,-34.48,-57.85
434,PUNTA_DEL_ESTE,URUGUAY,-34.97,-54.95
435,DOUGLAS,ISLE OF MAN,54.15,-4.47
437,ALAMEDA,UNITED STATES,37.77,-122.3
438,COCHIN,INDIA,9.97,76.27
440,EUGENE_ISLAND,UNITED STATES,29.37,-91.39
444,FORT_PHRACHULA_CHOMKLAO,THAILAND,13.55,100.58
445,YAKUTAT,UNITED STATES,59.55,-139.73
446,KO_TAPHAO_NOI,THAILAND,7.83,98.43
447,CHURCHILL,CANADA,58.77,-94.18
448,PORT_ADELAIDE,AUSTRALIA,-34.78,138.48
449,KO_SICHANG,THAILAND,13.15,100.82
453,LE_HAVRE,FRANCE,49.48,0.11
454,ST. MALO,FRANCE,48.64,-2.03
455,CALAIS,FRANCE,50.97,1.87
456,BUENAVENTURA,COLOMBIA,3.9,-77.1
457,ST. NAZAIRE,FRANCE,47.27,-2.2
458,MATARANI,PERU,-17.0,-72.12
460,HACHINOHE_I,JAPAN,40.53,141.53
462,RICHMOND,UNITED STATES,37.57,-77.45
463,MIYAKO_I,JAPAN,39.63,141.97
464,PUNTARENAS,COSTA RICA,9.97,-84.83
466,LA_ROCHELLE-LA_PALLICE,FRANCE,46.16,-1.22
467,CHERBOURG,FRANCE,49.65,-1.64
468,DUNKERQUE,FRANCE,51.05,2.37
469,ST_JEAN_DE_LUZ,FRANCE,43.4,-1.68
470,ZEEBRUGGE,BELGIUM,51.35,3.2
471,BOULOGNE,FRANCE,50.73,1.58
474,DIEPPE,FRANCE,49.93,1.08
475,TALARA,PERU,-4.62,-81.28
477,PORT_LOUIS,MAURITIUS,-20.15,57.5
483,VIGO,SPAIN,42.24,-8.73
484,LA_CORUNA_I,SPAIN,43.37,-8.4
485,SANTANDER_I,SPAIN,43.46,-3.79
486,MALOY,NORWAY,61.93,5.11
487,ADAK  SWEEPER_COVE,UNITED STATES,51.86,-176.63
488,TARIFA,SPAIN,36.01,-5.6
489,NIEUWPOORT,BELGIUM,51.15,2.73
490,ALGECIRAS,SPAIN,36.12,-5.43
491,MASSACRE_BAY,UNITED STATES,52.83,173.2
495,SKAGWAY,UNITED STATES,59.45,-135.33
496,MALAGA,SPAIN,36.71,-4.42
497,PORT_ISABEL,UNITED STATES,26.06,-97.22
498,CEUTA,SPAIN,35.89,-5.32
499,VALPARAISO,CHILE,-33.03,-71.63
500,WELLINGTON_II,NEW ZEALAND,-41.28,174.78
501,PUERTO_MADRYN,ARGENTINA,-42.77,-65.03
503,ALEXANDRIA,EGYPT,31.22,29.92
508,PORT_SAN_LUIS,UNITED STATES,35.18,-120.76
509,ALESUND,NORWAY,62.47,6.15
510,ANTOFAGASTA_2,CHILE,-23.65,-70.4
511,ANTOFAGASTA,CHILE,-23.65,-70.42
513,KWAJALEIN,MARSHALL ISLANDS,8.73,167.74
518,KUSHIRO,JAPAN,42.98,144.37
519,MONTAUK,UNITED STATES,41.05,-71.96
520,ST. PETERSBURG,UNITED STATES,27.76,-82.63
521,KAHULUI_HARBOR,UNITED STATES,20.89,-156.48
522,LEGASPI,PHILIPPINES,13.15,123.75
523,MIDWAY_ISLAND,UNITED STATES MINOR OUTLYING ISLANDS,28.21,-177.36
524,VARDO,NORWAY,70.37,31.1
525,BAR_HARBOR,UNITED STATES,44.39,-68.2
526,GRAND_ISLE,UNITED STATES,29.26,-89.96
527,PORT_ALBERNI,CANADA,49.23,-124.82
528,CHUUK,"MICRONESIA, FEDERATED STATES OF",7.45,151.85
531,EVENSKJAER,NORWAY,68.58,16.55
537,DAVAO,PHILIPPINES,7.08,125.63
538,ROCKPORT,UNITED STATES,28.02,-97.05
539,PAGO_PAGO,AMERICAN SAMOA,-14.28,-170.69
540,APRA_HARBOR,GUAM,13.44,144.65
541,BARENTSBURG,SVALBARD AND JAN MAYEN,78.07,14.25
542,IMBITUBA,BRAZIL,-28.23,-48.65
543,DIAMOND_HARBOUR,INDIA,22.2,88.17
544,LA_LIBERTAD_II,ECUADOR,-2.2,-80.92
545,KEELUNG_II,"TAIWAN, PROVINCE OF CHINA",25.13,121.73
546,YUZHNO_KURILSK,RUSSIAN FEDERATION,44.02,145.87
547,BARENTSBURG_II,SVALBARD AND JAN MAYEN,78.07,14.25
549,CAMP_COVE,AUSTRALIA,-33.83,151.28
552,PUERTO_LIMON,COSTA RICA,10.0,-83.03
554,ALERT_BAY,CANADA,50.58,-126.95
555,LA_LIBERTAD,ECUADOR,-2.2,-80.92
556,RECIFE,BRAZIL,-8.05,-34.87
557,PUERTO_CORTES,HONDURAS,15.83,-87.95
558,LA_UNION,EL SALVADOR,13.33,-87.82
562,BODO,NORWAY,67.29,14.39
563,GIBARA,CUBA,21.11,-76.12
564,MACKAY,AUSTRALIA,-21.1,149.23
565,LAS_PALMAS_C,SPAIN,28.15,-15.41
566,CORDOVA,UNITED STATES,60.56,-145.75
567,KODIAK_ISLAND,UNITED STATES,57.73,-152.51
568,SANTA_CRUZ_DE_LA_PALMA_B,SPAIN,28.67,-17.77
569,TIKSI,RUSSIAN FEDERATION,71.58,128.92
571,TALCAHUANO,CHILE,-36.68,-73.1
572,CARTAGENA,COLOMBIA,10.4,-75.55
575,KANTON_ISLAND,KIRIBATI,-2.8,-171.72
578,SALVADOR,BRAZIL,-12.97,-38.52
580,BELEM,BRAZIL,-1.45,-48.5
581,NAOS_ISLAND,PANAMA,8.92,-79.55
593,ARRECIFE,SPAIN,28.97,-13.53
595,WAKE_ISLAND,MARSHALL ISLANDS,19.29,166.62
596,KANDLA,INDIA,23.02,70.22
597,GLOUCESTER_POINT,UNITED STATES,37.25,-76.5
598,JOHNSTON_ISLAND,UNITED STATES MINOR OUTLYING ISLANDS,16.74,-169.53
599,AMDERMA,RUSSIAN FEDERATION,69.75,61.7
600,UST_KARA,RUSSIAN FEDERATION,69.25,64.52
601,FEDOROVA,RUSSIAN FEDERATION,77.72,104.3
602,SANNIKOVA,RUSSIAN FEDERATION,74.67,138.9
603,SHALAUROVA,RUSSIAN FEDERATION,73.18,143.23
604,AMBARCHIK,RUSSIAN FEDERATION,69.62,162.3
605,RAU-CHUA,RUSSIAN FEDERATION,69.5,166.58
606,PEVEK,RUSSIAN FEDERATION,69.7,170.25
607,VANKAREM,RUSSIAN FEDERATION,67.83,-175.83
608,VRANGELIA,RUSSIAN FEDERATION,70.98,-178.48
609,MALYE_KARMAKULY,RUSSIAN FEDERATION,72.37,52.7
610,UST_OLENEK,RUSSIAN FEDERATION,73.0,119.87
611,DIKSON,RUSSIAN FEDERATION,73.5,80.4
612,STERLEGOVA,RUSSIAN FEDERATION,75.42,88.9
613,NETTEN,RUSSIAN FEDERATION,66.97,-171.93
614,QINHUANGDAO,CHINA,39.9,119.6
615,PRAVDY,RUSSIAN FEDERATION,76.27,94.77
616,MYS_SHMIDTA,RUSSIAN FEDERATION,68.9,-179.37
617,RATMANOVA,RUSSIAN FEDERATION,65.85,-169.13
618,ARICA,CHILE,-18.47,-70.33
619,CALDERA,CHILE,-27.07,-70.83
620,MALYI_TAIMYR,RUSSIAN FEDERATION,78.08,106.82
621,KOLUCHIN,RUSSIAN FEDERATION,67.48,-174.65
622,UGORSKII_SHAR,RUSSIAN FEDERATION,69.82,60.75
627,TOBA,JAPAN,34.47,136.85
634,IRAKLION,GREECE,35.35,25.15
635,ONAHAMA,JAPAN,36.94,140.89
636,KIPTOPEKE_BEACH,UNITED STATES,37.16,-75.99
637,TOWNSVILLE_I,AUSTRALIA,-19.25,146.83
638,REYKJAVIK,ICELAND,64.15,-21.94
639,TUMACO,COLOMBIA,1.83,-78.73
640,DUNAI,RUSSIAN FEDERATION,73.93,124.5
641,KOTELNYI,RUSSIAN FEDERATION,76.0,137.87
642,KIGILIAH,RUSSIAN FEDERATION,73.33,139.87
643,KOLOBRZEG,POLAND,54.18,15.55
644,USTKA,POLAND,54.58,16.87
645,WLADYSLAWOWO,POLAND,54.8,18.42
646,ANDREIA,RUSSIAN FEDERATION,76.8,110.75
647,ZHELANIA_II,RUSSIAN FEDERATION,76.95,68.55
648,GEIBERGA,RUSSIAN FEDERATION,77.6,101.52
649,MUOSTAH,RUSSIAN FEDERATION,71.55,130.03
650,CHETYREHSTOLBOVOI,RUSSIAN FEDERATION,70.63,162.48
651,BOLVANSKII_NOS,RUSSIAN FEDERATION,70.45,59.08
652,PREOBRAZHENIA,RUSSIAN FEDERATION,74.67,112.93
653,POPOVA,RUSSIAN FEDERATION,73.33,70.05
655,RUSSKII,RUSSIAN FEDERATION,77.17,96.43
656,SOLNECHNAIA,RUSSIAN FEDERATION,78.2,103.27
657,SVIATOI_NOS,RUSSIAN FEDERATION,72.83,140.73
658,ZEMLIA_BUNGE,RUSSIAN FEDERATION,74.88,142.12
661,IZUHARA,JAPAN,34.2,129.3
662,PROVIDENIA,RUSSIAN FEDERATION,64.42,-173.23
663,MAIZURU_I,JAPAN,35.48,135.4
664,TACLOBAN,PHILIPPINES,11.25,125.0
665,ENEWETOK,MARSHALL ISLANDS,11.37,162.35
667,MARII_PRONCHISHEVOI,RUSSIAN FEDERATION,75.53,113.43
668,PUERTO_ARMUELLES,PANAMA,8.27,-82.87
669,TOKUYAMA_I,JAPAN,34.03,131.8
